Theater Name,Review date,Review URL,Author name,Local Guide,Star rating,Review content,
Violet Crown,10/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNwdVkyRmVnEAE!2m1!1s0x0 ,MARCO PATTI,TRUE,3,,
Violet Crown,10/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNwbExtZWF3EAE!2m1!1s0x0 ,Charles Franzen,TRUE,5,,
Violet Crown,9/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNwbUxheXpnRRAB!2m1!1s0x0 ,Shawn Gough,FALSE,1,Was there for a movie and had people talking through the entire film as well as taking photos with their flash on and making unwanted loud commentary throughout. Used to love going to this theatre but after my last experience I am very disappointed.,
Violet Crown,9/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURKODlpWmlBRRAB!2m1!1s0x0 ,Will,TRUE,5,,
Violet Crown,9/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURKc1lubV93RRAB!2m1!1s0x0 ,Alexandra Werntz,FALSE,5,Love this place! Theater is in excellent condition and the food/snacks are good. The best part of the experience is the staff - they’re always super kind and friendly. We’ve also met the manager on occasion and he’s great!! We love going here.,
Violet Crown,9/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURKc1luQUFREAE!2m1!1s0x0 ,James Czywczynski,FALSE,5,"Amazing staff experience, consistently, the highest grade staff, who truly care about you. I have had several opportunities where things didn’t go quite right on my end, and staff made them well, and even bent over backwards to make sure that we had a wonderful time. I can’t say more positive things about the staff members. Specifically, Cade, made our experience a wonderful time for me and my wife. Truly grateful and thankful to have this theater.",
Violet Crown,8/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURKc2NMWlJ3EAE!2m1!1s0x0 ,Nathaniel Johnson,FALSE,5,"My fav theater in Charlottesville. Friendly staff, great drinks, and a good selection of the newest movies along with the occasional classics mixed in. I love the vibe for watching movies in the small theaters downstairs too!",
Violet Crown,8/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURKc2RqSFBREAE!2m1!1s0x0 ,Nicholas Bradsher,FALSE,5,"When I first went back to a movie theater after COVID restrictions lifted, I had such a terrible time at a Regal theater that I was pretty ready to swear off theaters besides Alamo. I’m so glad I found Violet Crown, as I’ve had an excellent experience every single time I’ve gone there.The picture is clear, the sound is great, and the snacks are tasty. I think their specialty beers are really cool, and I’ve liked the selection of films they’ve chosen aside from new releases. My wife and I especially enjoyed the “My Film Series According to Rock Band” series.Honestly, the reason I choose VC more than anywhere else if the staff. Every person I’ve met has been professional and friendly.",
Violet Crown,8/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURKa3B5djJ3RRAB!2m1!1s0x0 ,Brinn Garcia-Mcghee,TRUE,5,Love this place!,
Violet Crown,8/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURKOU4yQWt3RRAB!2m1!1s0x0 ,Isadora Barrow,FALSE,5,Cute little theater right in the heart of the mall. Small individual theater with the best stretch out chairs!,
